Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2/8/2023,New Jersey,2022,12,3/26/2022,1415.00,1325.00,37.00,279.00,37.00,46.00,12.00,45.00,29.00,47.00,23.00,356.00,76.00,40.00,26.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,13,4/2/2022,1398.00,1277.00,27.00,303.00,49.00,56.00,15.00,40.00,17.00,35.00,32.00,327.00,69.00,26.00,17.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,14,4/9/2022,1401.00,1300.00,38.00,278.00,39.00,40.00,25.00,60.00,41.00,27.00,23.00,354.00,59.00,31.00,21.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,15,4/16/2022,1387.00,1289.00,45.00,298.00,38.00,47.00,26.00,44.00,35.00,21.00,28.00,338.00,73.00,32.00,21.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,16,4/23/2022,1349.00,1242.00,34.00,279.00,38.00,38.00,23.00,47.00,34.00,31.00,16.00,315.00,77.00,45.00,33.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,17,4/30/2022,1345.00,1244.00,28.00,272.00,44.00,34.00,17.00,60.00,27.00,26.00,23.00,328.00,61.00,41.00,30.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,18,5/7/2022,1402.00,1272.00,34.00,281.00,33.00,32.00,18.00,47.00,33.00,42.00,25.00,345.00,55.00,55.00,35.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,19,5/14/2022,1444.00,1326.00,32.00,263.00,31.00,37.00,11.00,36.00,30.00,32.00,28.00,386.00,56.00,59.00,40.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,20,5/21/2022,1510.00,1379.00,45.00,313.00,33.00,41.00,16.00,56.00,23.00,36.00,28.00,326.00,62.00,74.00,51.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,21,5/28/2022,1445.00,1331.00,26.00,307.00,44.00,39.00,24.00,62.00,34.00,22.00,29.00,325.00,60.00,71.00,54.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,22,6/4/2022,1392.00,1255.00,47.00,274.00,30.00,39.00,21.00,61.00,30.00,24.00,18.00,323.00,56.00,59.00,39.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,23,6/11/2022,1385.00,1269.00,43.00,267.00,38.00,44.00,12.00,43.00,24.00,43.00,27.00,333.00,56.00,66.00,42.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,24,6/18/2022,1440.00,1325.00,40.00,274.00,47.00,35.00,24.00,61.00,33.00,22.00,24.00,347.00,60.00,41.00,23.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,25,6/25/2022,1315.00,1204.00,37.00,264.00,34.00,29.00,12.00,49.00,33.00,29.00,32.00,314.00,52.00,44.00,30.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,26,7/2/2022,1468.00,1347.00,41.00,285.00,46.00,52.00,22.00,41.00,28.00,33.00,34.00,328.00,70.00,50.00,32.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,27,7/9/2022,1345.00,1247.00,33.00,261.00,34.00,34.00,22.00,30.00,27.00,40.00,21.00,362.00,48.00,51.00,26.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,28,7/16/2022,1426.00,1309.00,36.00,289.00,35.00,34.00,20.00,42.00,37.00,23.00,42.00,341.00,66.00,67.00,44.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,29,7/23/2022,1457.00,1342.00,31.00,302.00,47.00,40.00,20.00,53.00,27.00,33.00,45.00,320.00,70.00,69.00,47.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,30,7/30/2022,1409.00,1315.00,24.00,294.00,26.00,44.00,14.00,47.00,35.00,18.00,39.00,357.00,65.00,68.00,46.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,31,8/6/2022,1440.00,1311.00,44.00,271.00,48.00,45.00,13.00,47.00,33.00,25.00,39.00,352.00,60.00,53.00,37.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,32,8/13/2022,1367.00,1263.00,37.00,280.00,26.00,30.00,14.00,43.00,28.00,39.00,40.00,336.00,50.00,63.00,40.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,33,8/20/2022,1368.00,1284.00,40.00,289.00,26.00,40.00,15.00,37.00,39.00,33.00,48.00,304.00,72.00,61.00,42.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,34,8/27/2022,1404.00,1297.00,27.00,306.00,35.00,42.00,13.00,39.00,44.00,27.00,48.00,304.00,63.00,56.00,41.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,35,9/3/2022,1398.00,1285.00,36.00,312.00,26.00,34.00,18.00,42.00,35.00,27.00,52.00,307.00,63.00,55.00,41.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,36,9/10/2022,1474.00,1359.00,39.00,316.00,35.00,44.00,21.00,46.00,30.00,41.00,39.00,340.00,71.00,60.00,35.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,37,9/17/2022,1389.00,1302.00,36.00,303.00,31.00,36.00,15.00,45.00,35.00,29.00,61.00,318.00,53.00,47.00,28.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,38,9/24/2022,1472.00,1367.00,51.00,277.00,36.00,38.00,23.00,50.00,29.00,46.00,54.00,333.00,84.00,55.00,34.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,39,10/1/2022,1433.00,1329.00,28.00,284.00,42.00,40.00,18.00,54.00,33.00,42.00,70.00,313.00,74.00,57.00,35.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,40,10/8/2022,1521.00,1426.00,36.00,340.00,40.00,53.00,20.00,42.00,36.00,32.00,67.00,319.00,75.00,57.00,34.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,41,10/15/2022,1521.00,1435.00,55.00,304.00,30.00,50.00,18.00,45.00,41.00,33.00,54.00,359.00,73.00,75.00,42.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,42,10/22/2022,1464.00,1375.00,38.00,272.00,25.00,40.00,20.00,55.00,27.00,40.00,77.00,337.00,66.00,63.00,37.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,43,10/29/2022,1445.00,1370.00,39.00,275.00,36.00,43.00,25.00,42.00,50.00,34.00,79.00,325.00,73.00,59.00,41.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,44,11/5/2022,1488.00,1420.00,52.00,299.00,43.00,48.00,26.00,45.00,39.00,33.00,81.00,322.00,64.00,67.00,42.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,45,11/12/2022,1470.00,1409.00,31.00,282.00,32.00,39.00,30.00,52.00,44.00,29.00,91.00,315.00,71.00,75.00,57.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,46,11/19/2022,1524.00,1457.00,35.00,286.00,34.00,45.00,24.00,71.00,38.00,31.00,89.00,349.00,81.00,65.00,39.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,47,11/26/2022,1567.00,1507.00,42.00,285.00,46.00,40.00,32.00,52.00,53.00,38.00,89.00,372.00,68.00,76.00,57.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,48,12/3/2022,1619.00,1556.00,49.00,308.00,44.00,51.00,35.00,79.00,37.00,37.00,109.00,342.00,69.00,52.00,31.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,49,12/10/2022,1626.00,1554.00,44.00,268.00,38.00,54.00,40.00,62.00,50.00,28.00,108.00,412.00,70.00,86.00,52.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,50,12/17/2022,1675.00,1620.00,41.00,324.00,35.00,46.00,35.00,65.00,45.00,36.00,113.00,382.00,79.00,84.00,58.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,51,12/24/2022,1626.00,1577.00,40.00,308.00,43.00,50.00,32.00,55.00,59.00,40.00,95.00,380.00,64.00,88.00,64.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2022,52,12/31/2022,1728.00,1674.00,39.00,312.00,47.00,49.00,39.00,74.00,49.00,42.00,116.00,401.00,81.00,109.00,74.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2023,1,1/7/2023,1634.00,1574.00,39.00,312.00,40.00,54.00,36.00,66.00,47.00,44.00,101.00,337.00,75.00,100.00,76.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2023,2,1/14/2023,1459.00,1447.00,34.00,284.00,32.00,50.00,30.00,52.00,49.00,31.00,105.00,317.00,59.00,109.00,77.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2023,3,1/21/2023,1337.00,1337.00,45.00,243.00,30.00,57.00,18.00,45.00,45.00,32.00,98.00,291.00,70.00,81.00,48.00,,,,,,,,,,,,,,,
2/8/2023,New Jersey,2023,4,1/28/2023,1280.00,1280.00,40.00,240.00,32.00,38.00,24.00,47.00,52.00,30.00,78.00,305.00,50.00,86.00,54.00,,,,,,,,,,,,,,,
2/8/2023,New Mexico,2020,1,1/4/2020,408.00,358.00,,63.00,15.00,14.00,17.00,18.00,,,,98.00,25.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,2,1/11/2020,410.00,365.00,,66.00,16.00,10.00,14.00,45.00,,,,86.00,13.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,3,1/18/2020,388.00,337.00,,61.00,14.00,12.00,11.00,27.00,,,0.00,89.00,,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2/8/2023,New Mexico,2020,4,1/25/2020,404.00,367.00,,76.00,10.00,11.00,17.00,24.00,,,,88.00,18.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,5,2/1/2020,370.00,322.00,,61.00,11.00,,12.00,21.00,12.00,,,74.00,21.00,0.00,0.00,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,6,2/8/2020,377.00,315.00,,77.00,16.00,,,25.00,,,,68.00,15.00,0.00,0.00,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,7,2/15/2020,382.00,337.00,,75.00,19.00,11.00,16.00,20.00,10.00,,,72.00,15.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,8,2/22/2020,391.00,338.00,,67.00,13.00,11.00,,25.00,,,0.00,87.00,20.00,0.00,0.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2/8/2023,New Mexico,2020,9,2/29/2020,396.00,355.00,,61.00,,17.00,,31.00,,11.00,,103.00,19.00,0.00,0.00,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,10,3/7/2020,400.00,358.00,,61.00,19.00,14.00,11.00,21.00,,13.00,,94.00,23.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,11,3/14/2020,342.00,296.00,,54.00,14.00,13.00,,19.00,,,,79.00,12.00,0.00,0.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,12,3/21/2020,390.00,349.00,,61.00,15.00,10.00,13.00,25.00,,,,82.00,14.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,13,3/28/2020,365.00,320.00,,60.00,18.00,14.00,,26.00,,,,86.00,12.00,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2/8/2023,New Mexico,2020,14,4/4/2020,399.00,360.00,,68.00,16.00,12.00,,31.00,11.00,,,79.00,13.00,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2/8/2023,New Mexico,2020,15,4/11/2020,411.00,377.00,,66.00,,20.00,,28.00,,,,91.00,18.00,23.00,18.00,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,New Mexico,2020,16,4/18/2020,422.00,379.00,,76.00,17.00,17.00,,21.00,,,,74.00,21.00,35.00,31.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
